frame,timestamp,num_persons_visible,backpack_id,backpack_state,event,backpack_confidence,backpack_from_memory,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,owner_person_id
55,1.833,2,2,PLACED,,0.4839,False,255,639,390,807,100.0,0.0,False,True,
56,1.867,2,1,PICKING,Backpack 1: PLACED -> PICKING,0.5838,False,401,618,558,815,100.0,0.0,True,True,
56,1.867,2,2,PLACED,,0.4663,False,253,639,388,806,100.0,0.0,False,True,
57,1.900,2,1,PICKING,,0.5811,False,401,618,557,815,100.0,0.0,True,True,
57,1.900,2,2,PLACED,,0.4818,False,253,639,388,806,100.0,0.0,False,True,
58,1.933,2,1,PICKING,,0.5928,False,401,618,557,815,100.0,0.0,True,True,
58,1.933,2,2,PLACED,,0.4784,False,252,639,387,806,100.0,0.0,False,True,
59,1.967,2,1,PICKING,,0.5857,False,400,617,557,815,100.0,0.0,True,True,
59,1.967,2,2,PLACED,,0.4813,False,252,639,388,806,100.0,0.0,False,True,
60,2.000,2,1,PICKING,,0.6042,False,400,616,557,815,100.0,0.0,True,True,
60,2.000,2,2,PLACED,,0.4797,False,253,639,388,806,100.0,0.0,False,True,
61,2.033,2,1,PICKING,,0.5807,False,400,616,556,815,100.0,0.0,True,True,
61,2.033,2,2,PLACED,,0.4550,False,249,638,386,805,100.0,0.0,False,True,
62,2.067,2,1,PICKING,,0.5364,False,400,616,556,815,100.0,0.0,True,True,
62,2.067,2,2,PLACED,,0.4668,False,247,638,385,806,100.0,0.0,False,True,
63,2.100,2,1,PICKING,,0.4718,False,400,617,555,814,100.0,0.0,True,True,
63,2.100,2,2,PLACED,,0.4073,False,248,638,386,805,100.0,0.0,True,True,
64,2.133,2,1,PICKING,,0.4077,False,401,617,555,814,100.0,0.0,True,True,
64,2.133,2,2,PLACED,,0.3862,False,249,638,387,805,100.0,0.0,True,True,
65,2.167,2,1,PICKING,,0.3797,False,401,619,553,813,100.0,0.0,True,True,
65,2.167,2,2,PLACED,,0.3599,False,249,638,387,805,100.0,0.0,True,True,
66,2.200,2,1,PICKING,,,True,419,581,571,775,100.0,0.0,True,True,
66,2.200,2,2,PLACED,,,True,426,581,564,748,26.1,73.9,True,False,
67,2.233,2,1,PICKING,,,True,418,589,570,783,100.0,0.0,True,True,
67,2.233,2,2,PLACED,,,True,425,589,563,756,26.8,73.2,True,False,
68,2.267,2,1,PICKING,,0.3714,False,402,624,552,813,100.0,0.0,True,True,
68,2.267,2,2,PLACED,,,True,425,595,563,762,26.8,73.2,True,False,
69,2.300,2,1,PICKING,,,True,418,595,568,784,100.0,0.0,True,True,
69,2.300,2,2,PLACED,,,True,424,595,562,762,27.5,72.5,True,False,
70,2.333,2,1,PICKING,,0.3575,False,403,625,553,813,100.0,0.0,True,True,
70,2.333,2,2,PLACED,,,True,427,594,565,761,25.4,74.6,True,False,
71,2.367,2,1,PICKING,,0.3850,False,403,625,553,814,100.0,0.0,True,True,
71,2.367,2,2,PLACED,,,True,428,592,566,759,24.6,75.4,True,False,
72,2.400,2,1,PICKING,,0.3431,False,403,624,554,814,100.0,0.0,True,True,
72,2.400,2,2,PLACED,,,True,429,592,567,759,23.9,76.1,True,False,
73,2.433,2,1,PICKING,,0.4048,False,403,623,555,814,100.0,0.0,True,True,
73,2.433,2,2,PLACED,,,True,428,594,566,761,24.6,75.4,True,False,
74,2.467,2,1,PICKING,,0.4677,False,401,621,555,814,100.0,0.0,True,True,
74,2.467,2,2,PLACED,,,True,431,589,569,756,22.5,77.5,True,False,
75,2.500,2,1,PICKING,,0.4311,False,401,617,558,814,100.0,0.0,True,True,
75,2.500,2,2,PLACED,,,True,432,588,570,755,21.7,78.3,True,False,
76,2.533,2,1,PICKING,,,True,423,590,579,787,100.0,0.0,True,True,
76,2.533,2,2,PLACED,,,True,432,590,570,757,21.7,78.3,True,False,
77,2.567,2,1,PICKING,,,True,425,583,581,780,100.0,0.0,True,True,
77,2.567,2,2,PLACED,,,True,434,583,572,750,20.3,79.7,True,False,
78,2.600,2,1,PICKING,,,True,428,577,584,774,100.0,0.0,True,True,
78,2.600,2,2,PLACED,,,True,437,577,575,744,18.1,81.9,True,False,
79,2.633,2,1,PICKING,,,True,430,577,586,774,100.0,0.0,True,True,
79,2.633,2,2,PLACED,,,True,439,577,577,744,16.7,83.3,True,False,
80,2.667,2,1,PICKING,,,True,428,575,584,772,100.0,0.0,True,True,
80,2.667,2,2,PLACED,,,True,437,575,575,742,18.1,81.9,True,False,
81,2.700,2,1,PICKING,,,True,428,570,584,767,100.0,0.0,True,True,
81,2.700,2,2,PLACED,,,True,437,570,575,737,18.1,81.9,True,False,
82,2.733,2,1,PICKING,,,True,434,574,590,771,100.0,0.0,True,True,
82,2.733,2,2,PLACED,,,True,443,574,581,741,13.8,86.2,True,False,
83,2.767,2,1,PICKING,,,True,439,563,595,760,100.0,0.0,True,True,
83,2.767,2,2,PLACED,,,True,448,563,586,730,10.1,89.9,True,False,
